OPR_DT,Hour,Trading Hub,Renewable Type,Generation,Market
2017-10-22,1,SP15,Solar,0.0,DAM
2017-10-22,2,SP15,Solar,0.0,DAM
2017-10-22,3,SP15,Solar,0.0,DAM
2017-10-22,4,SP15,Solar,0.0,DAM
2017-10-22,5,SP15,Solar,0.0,DAM
2017-10-22,6,SP15,Solar,0.0,DAM
2017-10-22,7,SP15,Solar,1.63,DAM
2017-10-22,8,SP15,Solar,694.92,DAM
2017-10-22,9,SP15,Solar,3327.14,DAM
2017-10-22,10,SP15,Solar,5196.64,DAM
2017-10-22,11,SP15,Solar,5896.53,DAM
2017-10-22,12,SP15,Solar,5966.32,DAM
2017-10-22,13,SP15,Solar,5955.12,DAM
2017-10-22,14,SP15,Solar,5993.42,DAM
2017-10-22,15,SP15,Solar,5830.36,DAM
2017-10-22,16,SP15,Solar,5308.32,DAM
2017-10-22,17,SP15,Solar,3802.91,DAM
2017-10-22,18,SP15,Solar,939.98,DAM
2017-10-22,19,SP15,Solar,5.21,DAM
2017-10-22,20,SP15,Solar,0.0,DAM
2017-10-22,21,SP15,Solar,0.0,DAM
2017-10-22,22,SP15,Solar,0.0,DAM
2017-10-22,23,SP15,Solar,0.0,DAM
2017-10-22,24,SP15,Solar,0.0,DAM
2017-10-23,1,SP15,Solar,0.0,DAM
2017-10-23,2,SP15,Solar,0.0,DAM
2017-10-23,3,SP15,Solar,0.0,DAM
2017-10-23,4,SP15,Solar,0.0,DAM
2017-10-23,5,SP15,Solar,0.0,DAM
2017-10-23,6,SP15,Solar,0.0,DAM
2017-10-23,7,SP15,Solar,1.33,DAM
2017-10-23,8,SP15,Solar,704.12,DAM
2017-10-23,9,SP15,Solar,3363.36,DAM
2017-10-23,10,SP15,Solar,5286.01,DAM
2017-10-23,11,SP15,Solar,5967.92,DAM
2017-10-23,12,SP15,Solar,6050.11,DAM
2017-10-23,13,SP15,Solar,6005.01,DAM
2017-10-23,14,SP15,Solar,6041.14,DAM
