,LI_chr,LI_dis,LI_soc,LI_previous
948,50,0,30,-0.705882353
949,50,0,72.5,-1
950,50,0,115,-1
951,50,0,157.5,-1
952,0,0,200,-1
953,0,0,200,0
954,0,50,200,0
955,0,50,150,1
956,0,50,100,1
957,0,50,50,1
958,0,0,0,1
959,0,0,0,0
960,0,0,0,0
961,0,0,0,0
962,50,0,0,0
963,50,0,42.5,-1
964,50,0,85,-1
965,26.47058824,0,127.5,-1
966,0,50,150,-0.529411765
967,0,50,100,1
968,0,50,50,1
969,0,0,0,1
970,0,0,0,0
971,35.29411765,0,0,0
972,50,0,30,-0.705882353
973,50,0,72.5,-1
974,50,0,115,-1
975,50,0,157.5,-1
976,0,0,200,-1
977,0,50,200,0
978,0,50,150,1
979,0,50,100,1
980,0,50,50,1
981,0,0,0,1
982,0,0,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,50,0,0,0
988,50,0,42.5,-1
989,0,0,85,-1
990,0,35,85,0
991,0,50,50,0.7
992,0,0,0,1
993,0,0,0,0
994,0,0,0,0
995,35.29411765,0,0,0
996,50,0,30,-0.705882353
997,50,0,72.5,-1
998,50,0,115,-1
999,50,0,157.5,-1
1000,0,0,200,-1
1001,0,50,200,0
1002,0,50,150,1
1003,0,50,100,1
1004,0,50,50,1
1005,0,0,0,1
1006,0,0,0,0
1007,0,0,0,0
1008,0,0,0,0
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,8.823529412,0,0,0
1013,50,0,7.5,-0.176470588
1014,0,0,50,-1
1015,0,50,50,0
1016,0,0,0,1
1017,0,0,0,0
1018,50,0,0,0
1019,50,0,42.5,-1
1020,50,0,85,-1
1021,50,0,127.5,-1
1022,35.29411765,0,170,-1
1023,0,0,200,-0.705882353
1024,0,0,200,0
1025,0,0,200,0
1026,0,50,200,0
1027,0,50,150,1
1028,0,50,100,1
1029,0,50,50,1
1030,0,0,0,1
1031,0,0,0,0
1032,0,0,0,0
1033,35.29411765,0,0,0
1034,50,0,30,-0.705882353
1035,50,0,72.5,-1
1036,50,0,115,-1
1037,50,0,157.5,-1
1038,0,0,200,-1
1039,0,50,200,0
1040,0,35,150,1
1041,50,0,115,0.7
1042,50,0,157.5,-1
1043,0,0,200,-1
1044,0,0,200,0
1045,0,0,200,0
1046,0,0,200,0
1047,0,0,200,0
1048,0,0,200,0
1049,0,50,200,0
1050,0,50,150,1
1051,0,50,100,1
1052,0,50,50,1
1053,0,0,0,1
1054,0,0,0,0
1055,0,0,0,0
1056,0,0,0,0
1057,0,0,0,0
1058,50,0,0,0
1059,50,0,42.5,-1
1060,50,0,85,-1
1061,26.47058824,0,127.5,-1
1062,0,50,150,-0.529411765
1063,0,50,100,1
1064,0,50,50,1
1065,0,0,0,1
1066,0,0,0,0
1067,35.29411765,0,0,0
1068,50,0,30,-0.705882353
1069,50,0,72.5,-1
1070,50,0,115,-1
1071,50,0,157.5,-1
1072,0,0,200,-1
1073,0,50,200,0
1074,0,50,150,1
1075,0,50,100,1
1076,0,50,50,1
1077,0,0,0,1
1078,0,0,0,0
1079,0,0,0,0
1080,0,0,0,0
1081,0,0,0,0
1082,50,0,0,0
1083,50,0,42.5,-1
1084,50,0,85,-1
1085,26.47058824,0,127.5,-1
1086,0,50,150,-0.529411765
1087,0,50,100,1
1088,0,50,50,1
1089,0,0,0,1
1090,0,0,0,0
1091,35.29411765,0,0,0
1092,50,0,30,-0.705882353
1093,50,0,72.5,-1
1094,50,0,115,-1
1095,50,0,157.5,-1
1096,0,0,200,-1
1097,0,50,200,0
1098,0,50,150,1
1099,0,50,100,1
1100,0,50,50,1
1101,0,0,0,1
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,17.64705882,0,0,0
1107,50,0,15,-0.352941176
1108,50,0,57.5,-1
1109,0,0,100,-1
1110,0,0,100,0
1111,0,50,100,0
1112,0,50,50,1
1113,0,0,0,1
1114,0,0,0,0
1115,50,0,0,0
1116,50,0,42.5,-1
1117,50,0,85,-1
1118,50,0,127.5,-1
1119,35.29411765,0,170,-1
1120,0,0,200,-0.705882353
1121,0,50,200,0
1122,0,50,150,1
1123,0,50,100,1
1124,0,50,50,1
1125,0,0,0,1
1126,0,0,0,0
1127,0,0,0,0
1128,0,0,0,0
1129,0,0,0,0
1130,17.64705882,0,0,0
1131,50,0,15,-0.352941176
1132,50,0,57.5,-1
1133,0,0,100,-1
1134,0,0,100,0
1135,0,50,100,0
1136,0,50,50,1
1137,0,0,0,1
1138,0,0,0,0
1139,35.29411765,0,0,0
1140,50,0,30,-0.705882353
1141,50,0,72.5,-1
1142,50,0,115,-1
1143,50,0,157.5,-1
1144,0,0,200,-1
1145,0,50,200,0
1146,0,50,150,1
1147,0,50,100,1
1148,0,0,50,1
1149,0,50,50,0
1150,0,0,0,1
1151,0,0,0,0
1152,0,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1155,0,0,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,0,0,0,0
1160,0,0,0,0
1161,0,0,0,0
1162,50,0,0,0
1163,50,0,42.5,-1
1164,50,0,85,-1
1165,50,0,127.5,-1
1166,35.29411765,0,170,-1
1167,0,0,200,-0.705882353
